Valor;Titulo;Quilometragem;Cambio;Combustivel;Localizacao
R$ 36.000;ASX 2012 PASSAGEM LEILÃO LEIA O ANÚNCIO;140.000;km;Gasolina;Arujá
R$ 36.000;ASX 2012 PASSAGEM LEILÃO LEIA O ANÚNCIO;140.000;km;Gasolina;Arujá
R$ 4.500;Carro;20.000;km;km;Guarulhos, Jardim Ponte Alta II
R$ 24.600;BUGGY  raro;45.000;km;Gasolina;São Paulo, Aclimação
R$ 7.000;Ford Fiesta street;169.000;km;Gasolina;São Paulo, Jardim Guanhembu
R$ 15.300;Ford Focos;161.440;km;Flex;São Paulo, Jardim Colorado
R$ 38.500;Ka sedan 1.5 completo;147.000;km;Flex;São Paulo, Jardim Vista Linda
R$ 22.500;Gol 1.0 TREND 2011 COMPLETO;78.000;km;Flex;São Paulo, Vila Nova Utinga
R$ 79.900;Nissan Kicks Flexstart SV;22.550;km;Flex;São Bernardo do Campo, Demarchi
R$ 29.900;Ford Focus;130;km;Flex;Santo André, Parque Novo Oratório
R$ 47.900;JETTA COMFORTLINE 2.0 AUTOMÁTICO 2013;91.000;km;Flex;Guarulhos, Jardim Pinhal
R$ 16.500;Gol G5;92.000;km;Flex;São Paulo, Vila Helena
R$ 36.900;FLUENCE 2013/2014 2.0 DYNAMIQUE 16V FLEX 4P AUTOMÁTICO;84.000;km;Flex;São Paulo, Jardim Independência
R$ 24.000;Fiat Fiorino 1.3 Flex 2013;231.904;km;Flex;São Paulo, Vila Salete
R$ 29.500;Prisma LT 2015 - 1.4;94.000;km;Flex;São Paulo, Jardim da Conquista (Zona Leste)
R$ 50.990;Civic 2014 LXS;105.000;km;Flex;São Paulo, Penha de França
R$ 63.990;A3 Sedan 1.8TFSI Aut - 2014 Teto solar / Impecável;93.000;km;Gasolina;São Paulo, Ipiranga
R$ 73.900;VOLKSWAGEN VIRTUS 1.0 200 TSI HIGHLINE AUTOM?TICO.;34.572;km;Flex;São Bernardo do Campo, Baeta Neves
R$ 71.900;Toyota Corolla XEI 2.0 Flex Automático 2016 ;36.000;km;Flex;São Paulo, Instituto de Previdência
R$ 28.000;Hb20 ano 2013;75.000;km;Flex;São Paulo, Vila Santa Maria
R$ 17.000;Sandero expression vaiber 1.6 2010;123.000;km;Flex;São Paulo, Quinta da Paineira
R$ 53.990;PRISMA 2017/2018 1.4 MPFI LT 8V FLEX 4P AUTOMÁTICO;30.000;km;Flex;São Bernardo do Campo, Rudge Ramos
R$ 7.500;Ford ka ano 2007;138.000;km;Gasolina;São Paulo, Parque Independência
R$ 6.500;Gol 1.0 8v mi;294.000;km;Gasolina;São Paulo, Barro Branco (Zona Norte)
R$ 14.000;Fiat Stilo 1.8 Flex Dualogic ano 2008 completo bancos em couro único dono!;88.000;km;Flex;São Paulo, Vila Regente Feijó
